año,mes,dia,hora(utc),altura(mm)
2016,2,11,16,-228 
2016,2,11,17,-259 
2016,2,11,18,-76 
2016,2,11,19,283 
2016,2,11,20,737 
2016,2,11,21,1169 
2016,2,11,22,1464 
2016,2,11,23,1560 
2016,2,12,0,1443 
2016,2,12,1,1134 
2016,2,12,2,706 
2016,2,12,3,274 
2016,2,12,4,-52 
2016,2,12,5,-199 
2016,2,12,6,-128 
2016,2,12,7,148 
2016,2,12,8,556 
2016,2,12,9,983 
2016,2,12,10,1318 
2016,2,12,11,1479 
2016,2,12,12,1423 
2016,2,12,13,1159 
2016,2,12,14,753 
2016,2,12,15,305 
2016,2,12,16,-68 
2016,2,12,17,-267 
2016,2,12,18,-249 
2016,2,12,19,-20 
2016,2,12,20,379 
2016,2,12,21,854 
2016,2,12,22,1275 
2016,2,12,23,1537 
2016,2,13,0,1596 
2016,2,13,1,1442 
2016,2,13,2,1100 
2016,2,13,3,655 
2016,2,13,4,227 
2016,2,13,5,-80 
2016,2,13,6,-201 
2016,2,13,7,-103 
2016,2,13,8,192 
2016,2,13,9,601 
2016,2,13,10,1008 
2016,2,13,11,1310 
2016,2,13,12,1433 
2016,2,13,13,1340 
2016,2,13,14,1054 
2016,2,13,15,646 
2016,2,13,16,221 
2016,2,13,17,-109 
2016,2,13,18,-261 
2016,2,13,19,-203 
2016,2,13,20,58 
2016,2,13,21,475 
2016,2,13,22,940 
2016,2,13,23,1327 
2016,2,14,0,1550 
2016,2,14,1,1578 
2016,2,14,2,1397 
2016,2,14,3,1040 
2016,2,14,4,603 
2016,2,14,5,200 
2016,2,14,6,-76 
2016,2,14,7,-168 
2016,2,14,8,-50 
2016,2,14,9,247 
2016,2,14,10,635 
2016,2,14,11,1007 
2016,2,14,12,1269 
2016,2,14,13,1354 
2016,2,14,14,1237 
2016,2,14,15,948 
2016,2,14,16,562 
2016,2,14,17,178 
2016,2,14,18,-104 
2016,2,14,19,-215 
2016,2,14,20,-127 
2016,2,14,21,149 
2016,2,14,22,556 
2016,2,14,23,985 
2016,2,15,0,1325 
2016,2,15,1,1513 
2016,2,15,2,1515 
2016,2,15,3,1320 
2016,2,15,4,968 
2016,2,15,5,560 
2016,2,15,6,197 
2016,2,15,7,-45 
2016,2,15,8,-111 
2016,2,15,9,16 
2016,2,15,10,298 
2016,2,15,11,651 
2016,2,15,12,980 
2016,2,15,13,1202 
2016,2,15,14,1257 
2016,2,15,15,1130 
2016,2,15,16,858 
2016,2,15,17,510 
2016,2,15,18,174 
2016,2,15,19,-63 
2016,2,15,20,-139 
2016,2,15,21,-34 
2016,2,15,22,236 
2016,2,15,23,609 
2016,2,16,0,989 
2016,2,16,1,1286 
2016,2,16,2,1443 
2016,2,16,3,1427 
2016,2,16,4,1229 
2016,2,16,5,901 
2016,2,16,6,534 
2016,2,16,7,213 
2016,2,16,8,3 
2016,2,16,9,-45 
2016,2,16,10,79 
2016,2,16,11,333 
2016,2,16,12,645 
2016,2,16,13,933 
2016,2,16,14,1122 
2016,2,16,15,1159 
2016,2,16,16,1037 
2016,2,16,17,795 
2016,2,16,18,490 
